input_text,target_text
wygeneruj raport pogody: miasto Warszawa; temperatura 8.0 C; temperatura odczuwalna 3.2 C; cisnienie 1015 hPa; wilgotnosc 65 procent; wiatr 4.3 m/s; zachmurzenie 93 procent,"W mieście Warszawa temperatura wynosi 8.0 stopni C, a temperatura odczuwalna 3.2 stopni C. Ciśnienie wynosi 1015 hPa, wilgotność 65%, prędkość wiatru 4.3 m/s, a zachmurzenie 93%. Opis pogody: duże zachmurzenie."
wygeneruj raport pogody: miasto Kraków; temperatura 12.3 C; temperatura odczuwalna 6.7 C; cisnienie 1019 hPa; wilgotnosc 45 procent; wiatr 5.7 m/s; zachmurzenie 68 procent,"W mieście Kraków temperatura wynosi 12.3 stopni C, a temperatura odczuwalna 6.7 stopni C. Ciśnienie wynosi 1019 hPa, wilgotność 45%, prędkość wiatru 5.7 m/s, a zachmurzenie 68%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Łódź; temperatura 7.0 C; temperatura odczuwalna 5.3 C; cisnienie 1010 hPa; wilgotnosc 43 procent; wiatr 1.4 m/s; zachmurzenie 40 procent,"W mieście Łódź temperatura wynosi 7.0 stopni C, a temperatura odczuwalna 5.3 stopni C. Ciśnienie wynosi 1010 hPa, wilgotność 43%, prędkość wiatru 1.4 m/s, a zachmurzenie 40%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Wrocław; temperatura 2.4 C; temperatura odczuwalna -2.4 C; cisnienie 1016 hPa; wilgotnosc 84 procent; wiatr 2.2 m/s; zachmurzenie 49 procent,"W mieście Wrocław temperatura wynosi 2.4 stopni C, a temperatura odczuwalna -2.4 stopni C. Ciśnienie wynosi 1016 hPa, wilgotność 84%, prędkość wiatru 2.2 m/s, a zachmurzenie 49%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Poznań; temperatura 3.8 C; temperatura odczuwalna -1.1 C; cisnienie 1017 hPa; wilgotnosc 55 procent; wiatr 4.7 m/s; zachmurzenie 64 procent,"W mieście Poznań temperatura wynosi 3.8 stopni C, a temperatura odczuwalna -1.1 stopni C. Ciśnienie wynosi 1017 hPa, wilgotność 55%, prędkość wiatru 4.7 m/s, a zachmurzenie 64%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Gdańsk; temperatura 3.6 C; temperatura odczuwalna -4.6 C; cisnienie 1032 hPa; wilgotnosc 67 procent; wiatr 7.5 m/s; zachmurzenie 28 procent,"W mieście Gdańsk temperatura wynosi 3.6 stopni C, a temperatura odczuwalna -4.6 stopni C. Ciśnienie wynosi 1032 hPa, wilgotność 67%, prędkość wiatru 7.5 m/s, a zachmurzenie 28%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Szczecin; temperatura 6.8 C; temperatura odczuwalna 5.0 C; cisnienie 1017 hPa; wilgotnosc 48 procent; wiatr 1.4 m/s; zachmurzenie 59 procent,"W mieście Szczecin temperatura wynosi 6.8 stopni C, a temperatura odczuwalna 5.0 stopni C. Ciśnienie wynosi 1017 hPa, wilgotność 48%, prędkość wiatru 1.4 m/s, a zachmurzenie 59%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Bydgoszcz; temperatura 5.5 C; temperatura odczuwalna 2.6 C; cisnienie 1018 hPa; wilgotnosc 49 procent; wiatr 4.0 m/s; zachmurzenie 37 procent,"W mieście Bydgoszcz temperatura wynosi 5.5 stopni C, a temperatura odczuwalna 2.6 stopni C. Ciśnienie wynosi 1018 hPa, wilgotność 49%, prędkość wiatru 4.0 m/s, a zachmurzenie 37%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Lublin; temperatura 7.4 C; temperatura odczuwalna 5.5 C; cisnienie 1012 hPa; wilgotnosc 63 procent; wiatr 1.7 m/s; zachmurzenie 45 procent,"W mieście Lublin temperatura wynosi 7.4 stopni C, a temperatura odczuwalna 5.5 stopni C. Ciśnienie wynosi 1012 hPa, wilgotność 63%, prędkość wiatru 1.7 m/s, a zachmurzenie 45%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Białystok; temperatura 10.1 C; temperatura odczuwalna 5.7 C; cisnienie 1025 hPa; wilgotnosc 46 procent; wiatr 6.0 m/s; zachmurzenie 47 procent,"W mieście Białystok temperatura wynosi 10.1 stopni C, a temperatura odczuwalna 5.7 stopni C. Ciśnienie wynosi 1025 hPa, wilgotność 46%, prędkość wiatru 6.0 m/s, a zachmurzenie 47%. Opis pogody: lekkie zachmurzenie."
